Date,close,high,low,open,volume,log_return,spy_vol_21d,spy_vol_63d,fwd_vol_63d,drawdown
2000-01-03,91.36751556396484,93.134399191115,90.38591354888142,93.134399191115,8164300,,,,0.27230222614510413,0.0
2000-01-04,87.79447174072266,90.5036929169793,87.72575960944079,90.1699482793245,8089800,-0.039891471272450234,,,0.2601243434045186,-0.039106281933875775
2000-01-05,87.95154571533203,88.91351574659348,86.2239260673523,87.9122816324234,12177900,0.001787511531772509,,,0.26054568342284085,-0.03738713729434118
2000-01-06,86.53804779052734,88.89389301168507,86.53804779052734,87.7159704011062,6227200,-0.016201869883527176,,,0.2585918579597893,-0.05285760200031342
2000-01-07,91.5638427734375,91.5638427734375,87.9908111729303,88.14786750701853,8066500,0.056452288127929136,,,0.23346303208344255,0.0
2000-01-10,91.87793731689453,92.29021011254727,91.11228783925375,91.87793731689453,5741700,0.003424463611832648,,,0.23357074797834207,0.0
2000-01-11,90.77857971191406,91.77981404697194,90.15035424677971,91.60312563490291,7503700,-0.012037576297540077,,,0.23228386370216894,-0.011965414517183803
2000-01-12,89.8755111694336,90.83748147247034,89.75771888742909,90.83748147247034,6907700,-0.00999784793573817,,,0.2382651368260638,-0.021794417745300554
2000-01-13,91.09268951416016,91.5638585978541,90.0129270306949,90.75894474654362,5158300,0.013452050635261583,,,0.238471467791827,-0.008546641616757111
2000-01-14,92.32951354980469,92.64362628992734,91.70128806955935,92.05466490219736,7437300,0.013486292946727511,,,0.2643181758013757,0.0
2000-01-18,91.60309600830078,92.11352903363635,91.21045521958109,91.30861541676101,6488500,-0.007898776840626145,,,0.27330318181109226,-0.007867663475905395
2000-01-19,92.34912872314453,92.34912872314453,91.09267799221739,91.28899841892476,6157900,0.008111201766131223,,,0.27793240900806704,0.0
2000-01-20,90.93560028076172,92.32947498282002,90.34663913904693,92.32947498282002,5800100,-0.015424705328064212,,,0.2768456921757044,-0.015306353854408927
2000-01-21,90.73928833007812,91.40677768603284,90.50370385150588,91.40677768603284,6244800,-0.0021611355162072586,,,0.2769884509763768,-0.01743211241215481
2000-01-24,88.16753387451172,91.62277456966069,87.57857239238405,91.50498227323516,7896900,-0.028751632660345812,,,0.2717191874735421,-0.04528028478935531
2000-01-25,89.16874694824219,89.16874694824219,87.32333474808041,88.27548891518515,9942500,0.011291809068790192,,,0.2827069278691599,-0.03443867656225408
2000-01-26,88.46199798583984,88.92335106011132,88.01046093442523,88.57979026012192,5158100,-0.007957549151660895,,,0.28321097163445746,-0.04209168826008092
2000-01-27,88.1086196899414,89.34543854922534,86.77364060373017,89.10985400459982,10922700,-0.004002690508250954,,,0.283168041487472,-0.04591823541633877
2000-01-28,85.36011505126953,87.99080856940894,85.14416259828795,87.59816774580604,11916200,-0.031691413168097725,,,0.27582121419969097,-0.07568034228917864
2000-01-31,87.67669677734375,87.74540892215359,84.8104187367051,85.32085181243528,10768700,0.02677719404551999,,,0.27204205267684384,-0.050595300793885856
2000-02-01,88.54051208496094,89.01168110714254,87.0288448054616,87.79449446650672,8419900,0.009804062069956874,,,0.27463651922415727,-0.041241500497546935
2000-02-02,88.61903381347656,89.36505137770168,88.18712890787256,88.7564581016233,6205900,0.0008864521892880581,0.33376952916361025,,0.2788262268037961,-0.040391230120324195
2000-02-03,89.95401000976562,89.99327409095714,87.95154186899826,88.5012390056795,7997500,0.014951876700612087,0.30720291181357057,,0.2776004467925151,-0.025935477101893256
2000-02-04,89.5810317993164,90.46447392751479,89.28655108991694,89.95404069788906,4925400,-0.004154940932617781,0.3077384999906435,,0.27853133179725226,-0.029974261393701518
2000-02-07,89.443603515625,89.69882011915948,88.85464212285311,89.56139579417938,5845800,-0.0015353005517317019,0.3016173424923531,,0.27893715299778354,-0.031462399783219075
